,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,prediction,signal_0.00_sigma,trade_result_0.00_sigma,equity_curve_0.00_sigma,noncomp_curve_0.00_sigma,correct_prediction_0.00_sigma,signal_0.25_sigma,trade_result_0.25_sigma,equity_curve_0.25_sigma,noncomp_curve_0.25_sigma,correct_prediction_0.25_sigma,signal_0.50_sigma,trade_result_0.50_sigma,equity_curve_0.50_sigma,noncomp_curve_0.50_sigma,correct_prediction_0.50_sigma,signal_1.00_sigma,trade_result_1.00_sigma,equity_curve_1.00_sigma,noncomp_curve_1.00_sigma,correct_prediction_1.00_sigma,signal_2.00_sigma,trade_result_2.00_sigma,equity_curve_2.00_sigma,noncomp_curve_2.00_sigma,correct_prediction_2.00_sigma,trade_0.00_sigma,trade_0.25_sigma,trade_0.50_sigma,trade_1.00_sigma,trade_2.00_sigma
3337,-0.0027307777904759245,0.009166651649216373,0.0019294977257331425,0.012887672424731322,1,0,0,0,-0.0058616647127783805,-0.001435695934713599,0.004037267080745366,-0.011049996474155499,-0.00010948105977659495,-0.005459350441616273,-0.0027307777904759245,0.0024464335292577744,1.0,-0.0027307777904759245,1.138202813714434,0.1820313585923825,0,1.0,-0.0027307777904759245,1.320055562343982,0.3196790681330398,0.0,1.0,-0.0027307777904759245,1.2816913009449087,0.2804383494191154,0.0,1.0,-0.0027307777904759245,1.395366721301317,0.3531387857915711,0.0,0.0,-0.0,1.0438727978173246,0.0495778394417169,,0,0,1,1,0
3338,0.007605594726144194,0.00861909892320778,0.008530187688276847,0.005416368408494243,0,0,1,0,0.08608490566037741,0.004842981460461804,0.010392824002474432,0.01694202206170714,-0.004598707982043093,0.012190715942332675,0.007605594726144194,0.0009529191302135587,1.0,0.007605594726144194,1.146859523031703,0.1896369533185267,1,1.0,0.007605594726144194,1.3300953699671627,0.327284662859184,1.0,1.0,0.007605594726144194,1.2914393255439203,0.2880439441452596,1.0,0.0,0.0,1.395366721301317,0.3531387857915711,,0.0,0.0,1.0438727978173246,0.0495778394417169,,0,0,0,1,0
3339,0.010876331856817911,-0.002885858114926809,-0.0060277744522925225,-0.013028929444431236,0,0,0,1,0.0010857763300760048,-0.006777618796596219,-0.00502051062266573,0.02540334738008254,0.00901990980090206,0.005273520708356294,0.010876331856817911,-0.001687093754298985,-1.0,-0.010876331856817911,1.1343858982660582,0.1787606214617088,0,-1.0,-0.010876331856817911,1.3156288113221828,0.3164083310023661,0.0,-1.0,-0.010876331856817911,1.2773932028663595,0.27716761228844167,0.0,-1.0,-0.010876331856817911,1.380190249778484,0.3422624539347532,0.0,0.0,0.0,1.0438727978173246,0.0495778394417169,,1,1,1,1,0
3340,-0.019505320440320495,-0.018430615892707003,-0.021131807314532014,-0.004700875252476644,0,0,0,0,0.058568329718004186,-0.011600576237773774,-0.010460894714171332,-0.0020855841687067445,0.010683527744467458,0.0013057372261102707,-0.019505320440320495,-0.00010762870806502178,-1.0,0.019505320440320495,1.1565124587147186,0.19826594190202929,1,0.0,-0.0,1.3156288113221828,0.3164083310023661,,0.0,-0.0,1.2773932028663595,0.27716761228844167,,0.0,-0.0,1.380190249778484,0.3422624539347532,,0.0,-0.0,1.0438727978173246,0.0495778394417169,,0,1,1,1,0
3341,0.0007669869491433445,0.00228528014278484,0.010507924008268388,-0.005254575104185588,1,0,0,0,-0.024590163934426257,0.0031451365449524094,-0.0003109259374417528,0.004865113028224677,-0.00323589688275272,0.010146303519748878,0.0007669869491433445,0.003106366842985153,1.0,0.0007669869491433445,1.1573994886770744,0.19903292885117263,1,1.0,0.0007669869491433445,1.3166378814503839,0.31717531795150944,1.0,1.0,0.0007669869491433445,1.2783729467818825,0.277934599237585,1.0,1.0,0.0007669869491433445,1.3812488376873988,0.34302944088389653,1.0,1.0,0.0007669869491433445,1.044673434629816,0.05034482639086024,1.0,1,1,1,1,1
3342,-0.00410355440226895,-5.4144131678479646e-05,0.0024048413413535474,0.007565270188220952,0,1,0,0,-0.005252100840336116,0.003670566643725559,0.003110226424483775,-0.0031231460582213932,-0.004003895682285541,-0.009738642025637345,-0.00410355440226895,-0.0014708242379128933,-1.0,0.00410355440226895,1.162148940444019,0.20313648325344158,1,-1.0,0.00410355440226895,1.3220407766250037,0.3212788723537784,1.0,-1.0,0.00410355440226895,1.2836188197153908,0.28203815363985396,1.0,-1.0,0.00410355440226895,1.3869168674359198,0.3471329952861655,1.0,0.0,-0.0,1.044673434629816,0.05034482639086024,,1,1,1,1,1
3343,0.005441434890625985,0.0020094576870781644,0.0028424447454251656,-0.0009581430103769994,0,0,1,0,-0.013199577613516311,-0.0034285714285713365,-0.0042788044152300975,-0.0032423780174979377,0.0038026944806606178,-0.007067056993870557,0.005441434890625985,-0.0001854669681051746,-1.0,-0.005441434890625985,1.155825182651383,0.1976950483628156,0,0.0,0.0,1.3220407766250037,0.3212788723537784,,0.0,0.0,1.2836188197153908,0.28203815363985396,,0.0,0.0,1.3869168674359198,0.3471329952861655,,0.0,0.0,1.044673434629816,0.05034482639086024,,0,1,1,1,0
3344,-0.0026216190154765284,0.007781540456805347,0.0014232504617992525,0.010036975154867456,0,0,0,1,0.013376136971642527,-0.0019877675840980213,-0.0024911253658840282,0.0026558693339737705,0.0019482627990041745,0.013681907174939445,-0.0026216190154765284,0.0007977961213327944,1.0,-0.0026216190154765284,1.1527950493739776,0.19507342934733907,0,1.0,-0.0026216190154765284,1.3185748893857683,0.31865725333830186,0.0,1.0,-0.0026216190154765284,1.2802536602090013,0.27941653462437743,0.0,0.0,-0.0,1.3869168674359198,0.3471329952861655,,0.0,-0.0,1.044673434629816,0.05034482639086024,,1,1,1,0,0
3345,0.011317699238034162,-0.0011915826600891188,-0.0002721499848805653,-0.007231966366280207,0,0,0,0,-0.0015839493136219351,0.016240232878811156,0.009115314977836242,0.007597431931116505,-0.01285513665334348,0.010191097275557448,0.011317699238034162,-8.993572555482388e-05,-1.0,-0.011317699238034162,1.139748061722068,0.1837557301093049,0,0.0,0.0,1.3185748893857683,0.31865725333830186,,0.0,0.0,1.2802536602090013,0.27941653462437743,,0.0,0.0,1.3869168674359198,0.3471329952861655,,0.0,0.0,1.044673434629816,0.05034482639086024,,1,1,1,0,0
3346,-0.007283438691251587,-0.0012168643076996277,0.004652006896343153,0.0029896535129931845,1,0,0,0,-0.029085140137493304,0.00746268656716409,-0.002103569881828915,-4.755047142890323e-05,-0.00032829940906098365,0.0067142776809312466,-0.007283438691251587,0.0022320810239762068,1.0,-0.007283438691251587,1.1314467765910425,0.17647229141805332,0,1.0,-0.007283438691251587,1.3089711300191031,0.3113738146470503,0.0,1.0,-0.007283438691251587,1.2709290111656186,0.27213309593312585,0.0,1.0,-0.007283438691251587,1.3768153434620876,0.3398495565949139,0.0,0.0,-0.0,1.044673434629816,0.05034482639086024,,1,1,1,1,0
