,1,2,3,4,5,6,7,8,prediction,signal_0.00_sigma,trade_result_0.00_sigma,equity_curve_0.00_sigma,noncomp_curve_0.00_sigma,correct_prediction_0.00_sigma,signal_0.25_sigma,trade_result_0.25_sigma,equity_curve_0.25_sigma,noncomp_curve_0.25_sigma,correct_prediction_0.25_sigma,signal_0.50_sigma,trade_result_0.50_sigma,equity_curve_0.50_sigma,noncomp_curve_0.50_sigma,correct_prediction_0.50_sigma,signal_1.00_sigma,trade_result_1.00_sigma,equity_curve_1.00_sigma,noncomp_curve_1.00_sigma,correct_prediction_1.00_sigma,signal_2.00_sigma,trade_result_2.00_sigma,equity_curve_2.00_sigma,noncomp_curve_2.00_sigma,correct_prediction_2.00_sigma,trade_0.00_sigma,trade_0.25_sigma,trade_0.50_sigma,trade_1.00_sigma,trade_2.00_sigma
4358,-0.005535196945568921,-0.001529154282109868,0.0026223860810326016,0.0054117669756807985,0,0,0,0,-0.000490357750095427,-1.0,0.005535196945568921,1.1459075772841223,0.17422727575843178,1,-1.0,0.005535196945568921,1.009979601278133,0.04009777457037311,1.0,-1.0,0.005535196945568921,1.0346125155337027,0.05721975743117391,1.0,-1.0,0.005535196945568921,1.040292595009566,0.05174648038464735,1.0,0.0,-0.0,1.0142408705048958,0.01759156152261232,,1,1,1,1,0
4359,0.006569237447547449,-0.0009859006633292644,0.0017469019032545496,-0.0031566625729199105,1,0,0,0,0.0004152203327976167,1.0,0.006569237447547449,1.1534353162522455,0.18079651320597923,1,1.0,0.006569237447547449,1.0166143970961083,0.04666701201792056,1.0,1.0,0.006569237447547449,1.041409130814448,0.06378899487872136,1.0,0.0,0.0,1.040292595009566,0.05174648038464735,,0.0,0.0,1.0142408705048958,0.01759156152261232,,1,1,1,1,0
4360,-0.004216740459624724,-0.0016384018396091715,-0.0010501671596351292,-0.00020212714760092787,0,1,0,0,-0.0002504599979147315,-1.0,0.004216740459624724,1.1582990536178464,0.18501325366560395,1,-1.0,0.004216740459624724,1.0209011961561805,0.050883752477545285,1.0,-1.0,0.004216740459624724,1.0458004828313758,0.06800573533834608,1.0,0.0,-0.0,1.040292595009566,0.05174648038464735,,0.0,-0.0,1.0142408705048958,0.01759156152261232,,1,1,1,0,0
4361,-0.00017323349950915112,-0.0023992552711638027,-0.004899502334014816,-0.004640237210466469,0,0,1,0,0.00020989071344956756,1.0,-0.00017323349950915112,1.15809839741931,0.1848400201660948,0,1.0,-0.00017323349950915112,1.0207243418693173,0.050710518978036134,0.0,0.0,-0.0,1.0458004828313758,0.06800573533834608,,0.0,-0.0,1.040292595009566,0.05174648038464735,,0.0,-0.0,1.0142408705048958,0.01759156152261232,,1,1,1,0,0
4362,-0.004774372401047389,0.0015007359378156337,0.0016476700007754808,0.005600046425255467,0,0,0,1,0.00019971241999883205,1.0,-0.004774372401047389,1.152569204392974,0.1800656477650474,0,1.0,-0.004774372401047389,1.0158510237424192,0.045936146576988746,0.0,0.0,-0.0,1.0458004828313758,0.06800573533834608,,0.0,-0.0,1.040292595009566,0.05174648038464735,,0.0,-0.0,1.0142408705048958,0.01759156152261232,,0,0,0,0,0
4363,0.005745125348189495,0.0009413572835117456,0.0017320457492306929,-0.0013561473872523155,0,0,0,0,0.00013675232185050845,1.0,0.005745125348189495,1.1591908589446747,0.1858107731132369,1,1.0,0.005745125348189495,1.021687215208906,0.05168127192517824,1.0,0.0,0.0,1.0458004828313758,0.06800573533834608,,0.0,0.0,1.040292595009566,0.05174648038464735,,0.0,0.0,1.0142408705048958,0.01759156152261232,,0,0,0,0,0
4364,-0.0013078683668956703,0.001094018406379682,0.0019222410045882654,0.003890975633246585,1,0,0,0,-0.000456564303021878,-1.0,0.0013078683668956703,1.160706928000283,0.18711864148013257,1,-1.0,0.0013078683668956703,1.0230234475985396,0.05298914029207391,1.0,-1.0,0.0013078683668956703,1.047168252200955,0.06931360370524176,1.0,-1.0,0.0013078683668956703,1.0416531607868948,0.05305434875154302,1.0,0.0,-0.0,1.0142408705048958,0.01759156152261232,,1,1,1,1,0
4365,0.003707270101107385,0.005339494042198245,0.003827465196097224,-0.00016309457566621166,0,1,0,0,0.00039214096614159644,1.0,0.003707270101107385,1.1650099820906068,0.19082591158123996,1,1.0,0.003707270101107385,1.0268160718385535,0.056696410393181296,1.0,1.0,0.003707270101107385,1.0510503877531685,0.07302087380634914,1.0,0.0,0.0,1.0416531607868948,0.05305434875154302,,0.0,0.0,1.0142408705048958,0.01759156152261232,,1,1,1,1,0
4366,-0.00016309301098471618,-0.0024314892156301893,-0.0009027957856724278,0.002533175969371637,0,0,1,0,-0.00033781948150135577,-1.0,0.00016309301098471618,1.1651999870764134,0.19098900459222468,1,-1.0,0.00016309301098471618,1.0269835383634374,0.05685950340416601,1.0,-1.0,0.00016309301098471618,1.0512218067256038,0.07318396681733386,1.0,0.0,-0.0,1.0416531607868948,0.05305434875154302,,0.0,-0.0,1.0142408705048958,0.01759156152261232,,1,1,1,0,0
4367,0.002542746934310669,0.006987258528565521,0.002643544464417946,0.007408045481953618,0,0,0,1,0.00029369062394835055,1.0,0.002542746934310669,1.1681627957714107,0.19353175152653534,1,1.0,0.002542746934310669,1.0295948976071985,0.05940225033847668,1.0,1.0,0.002542746934310669,1.053894797751936,0.07572671375164453,1.0,0.0,0.0,1.0416531607868948,0.05305434875154302,,0.0,0.0,1.0142408705048958,0.01759156152261232,,1,1,1,0,0
4368,0.0073887618081409645,0.001680113906027625,0.0016586450883011583,-0.005139898342121474,0,0,0,0,-0.00021262990776449442,-1.0,-0.0073887618081409645,1.1595315191203237,0.18614298971839438,0,-1.0,-0.0073887618081409645,1.0219874661499015,0.052013488530335716,0.0,0.0,0.0,1.053894797751936,0.07572671375164453,,0.0,0.0,1.0416531607868948,0.05305434875154302,,0.0,0.0,1.0142408705048958,0.01759156152261232,,1,1,1,0,0
4369,-0.006032967554985391,-0.0027954930965534697,0.0005168700646087654,0.001317875355730802,1,0,0,0,-0.0003343711723573506,-1.0,0.006032967554985391,1.1665269351541594,0.19217595727337977,1,-1.0,0.006032967554985391,1.0281530833747856,0.05804645608532111,1.0,-1.0,0.006032967554985391,1.060252910873141,0.08175968130662992,1.0,0.0,-0.0,1.0416531607868948,0.05305434875154302,,0.0,-0.0,1.0142408705048958,0.01759156152261232,,0,0,1,0,0
