,1,2,3,4,5,6,prediction,signal_0.00_sigma,trade_result_0.00_sigma,equity_curve_0.00_sigma,noncomp_curve_0.00_sigma,correct_prediction_0.00_sigma,signal_0.25_sigma,trade_result_0.25_sigma,equity_curve_0.25_sigma,noncomp_curve_0.25_sigma,correct_prediction_0.25_sigma,signal_0.50_sigma,trade_result_0.50_sigma,equity_curve_0.50_sigma,noncomp_curve_0.50_sigma,correct_prediction_0.50_sigma,signal_1.00_sigma,trade_result_1.00_sigma,equity_curve_1.00_sigma,noncomp_curve_1.00_sigma,correct_prediction_1.00_sigma,signal_2.00_sigma,trade_result_2.00_sigma,equity_curve_2.00_sigma,noncomp_curve_2.00_sigma,correct_prediction_2.00_sigma,trade_0.00_sigma,trade_0.25_sigma,trade_0.50_sigma,trade_1.00_sigma,trade_2.00_sigma
2809,-0.006019252590683255,-0.002554316795384093,-0.006551931677065914,-0.008341217878363505,821799232,0,-0.0001307434431510046,-1.0,0.006019252590683255,0.9547470734965295,-0.044239469646754626,1,-1.0,0.006019252590683255,0.9526265283982657,-0.04647885487713632,1.0,0.0,-0.0,0.977054035891575,-0.02178500671577044,,0.0,-0.0,0.9741314646090073,-0.025132597741913898,,0.0,-0.0,0.9691164622681279,-0.031132024041424455,,0,0,1,0,0
2810,-0.006822728922220911,-0.001461195468787646,0.0022009371237508013,0.008922778655553243,765853696,1,3.9769271097611636e-05,1.0,-0.006822728922220911,0.948233093024779,-0.051062198568975536,0,0.0,-0.0,0.9526265283982657,-0.04647885487713632,,0.0,-0.0,0.977054035891575,-0.02178500671577044,,0.0,-0.0,0.9741314646090073,-0.025132597741913898,,0.0,-0.0,0.9691164622681279,-0.031132024041424455,,1,1,0,0,0
2811,0.006765569581633102,-0.0019083681566520738,0.004139693616760809,-0.0013617587871268544,686038528,2,-0.000887434696778655,-1.0,-0.006765569581633102,0.9418177560543126,-0.05782776815060864,0,-1.0,-0.006765569581633102,0.9461814673350776,-0.053244424458769424,0.0,-1.0,-0.006765569581633102,0.9704437088267351,-0.02855057629740354,0.0,-1.0,-0.006765569581633102,0.967540910403537,-0.031898167323547,0.0,-1.0,-0.006765569581633102,0.9625598374099468,-0.03789759362305756,0.0,1,1,1,1,1
2812,-0.0051820110309716005,-0.005660477172935496,-0.013762411698811983,-0.018870926198087945,895537280,3,-0.0008597698179073632,-1.0,0.0051820110309716005,0.9466982660553511,-0.05264575711963704,1,-1.0,0.0051820110309716005,0.9510845901361089,-0.04806241342779782,1.0,-1.0,0.0051820110309716005,0.9754725588308124,-0.02336856526643194,1.0,-1.0,0.0051820110309716005,0.9725547180741645,-0.0267161562925754,1.0,0.0,-0.0,0.9625598374099468,-0.03789759362305756,,0,0,0,0,1
2813,-0.016941294500349535,-0.005601495758976172,-0.001715332133115921,0.007080479650377169,725751936,4,-0.0005771558498963714,-1.0,0.016941294500349535,0.9627365601835651,-0.0357044626192875,1,-1.0,0.016941294500349535,0.967197194272349,-0.031121118927448288,1.0,-1.0,0.016941294500349535,0.9919983267269747,-0.006427270766082405,1.0,-1.0,0.016941294500349535,0.9890310539707633,-0.009774861792225864,1.0,0.0,-0.0,0.9625598374099468,-0.03789759362305756,,0,0,0,0,0
2814,0.005999551579907614,-0.005472541751060378,-0.004349878869031598,-0.0060493145643572,750874560,0,-0.00038656280958093703,-1.0,-0.005999551579907614,0.956960572532881,-0.041704014199195116,0,-1.0,-0.005999551579907614,0.9613944448173701,-0.0371206705073559,0.0,-1.0,-0.005999551579907614,0.9860467815985943,-0.012426822345990018,0.0,0.0,0.0,0.9890310539707633,-0.009774861792225864,,0.0,0.0,0.9625598374099468,-0.03789759362305756,,0,0,0,1,0
2815,-0.007783352162251456,-0.009783352162251457,-0.019628878161026764,-0.011200333233055026,1019780608,1,0.00038712838431820273,1.0,-0.007783352162251456,0.9495122113914678,-0.04948736636144657,0,1.0,-0.007783352162251456,0.9539115732865243,-0.04490402266960736,0.0,1.0,-0.007783352162251456,0.9783720322489577,-0.020210174508241474,0.0,0.0,-0.0,0.9890310539707633,-0.009774861792225864,,0.0,-0.0,0.9625598374099468,-0.03789759362305756,,1,1,1,0,0
2816,-0.006985082967263301,-0.005859708489204141,-0.00957085765034249,-0.01949495658686118,1173852544,2,-0.0008401590748690069,-1.0,0.006985082967263301,0.9561446329664669,-0.04250228339418327,1,-1.0,0.006985082967263301,0.9605747247693633,-0.03791893970234406,1.0,-1.0,0.006985082967263301,0.9852060420670667,-0.013225091540978173,1.0,-1.0,0.006985082967263301,0.995939517939949,-0.0027897788249625632,1.0,0.0,-0.0,0.9625598374099468,-0.03789759362305756,,1,1,1,1,0
2817,-0.015951198161724744,-0.0015848107985728666,0.010055642288139044,0.01339825599898159,841293632,3,-0.001140405423939228,-1.0,0.015951198161724744,0.9713962854781845,-0.026551085232458527,1,-1.0,0.015951198161724744,0.9758970425533036,-0.021967741540619312,1.0,-1.0,0.015951198161724744,1.000921258874207,0.002726106620746571,1.0,-1.0,0.015951198161724744,1.0118259465477015,0.013161419336762181,1.0,-1.0,0.015951198161724744,0.9779138201189903,-0.021946395461332813,1.0,0,0,0,0,1
2818,0.011968833474687246,0.007819341924183654,0.011548735346105454,0.004302358446126364,1481989632,4,-0.0008128965273499489,-1.0,-0.011968833474687246,0.9597698050993663,-0.03851991870714577,0,-1.0,-0.011968833474687246,0.9642166933625433,-0.03393657501530656,0.0,-1.0,-0.011968833474687246,0.9889413990054672,-0.009242726853940675,0.0,-1.0,-0.011968833474687246,0.9997155702881043,0.0011925858620749352,0.0,0.0,0.0,0.9779138201189903,-0.021946395461332813,,0,0,0,0,1
2819,0.0038693203624942107,0.009077648811371075,0.004247049789214641,0.014993746091307214,786916800,0,5.1207858632551506e-05,1.0,0.0038693203624942107,0.9634834619495444,-0.03465059834465156,1,0.0,0.0,0.9642166933625433,-0.03393657501530656,,0.0,0.0,0.9889413990054672,-0.009242726853940675,,0.0,0.0,0.9997155702881043,0.0011925858620749352,,0.0,0.0,0.9779138201189903,-0.021946395461332813,,1,1,1,1,0
