,1,2,3,4,5,6,7,8,prediction,signal_0.00_sigma,trade_result_0.00_sigma,equity_curve_0.00_sigma,noncomp_curve_0.00_sigma,correct_prediction_0.00_sigma,signal_0.25_sigma,trade_result_0.25_sigma,equity_curve_0.25_sigma,noncomp_curve_0.25_sigma,correct_prediction_0.25_sigma,signal_0.50_sigma,trade_result_0.50_sigma,equity_curve_0.50_sigma,noncomp_curve_0.50_sigma,correct_prediction_0.50_sigma,signal_1.00_sigma,trade_result_1.00_sigma,equity_curve_1.00_sigma,noncomp_curve_1.00_sigma,correct_prediction_1.00_sigma,signal_2.00_sigma,trade_result_2.00_sigma,equity_curve_2.00_sigma,noncomp_curve_2.00_sigma,correct_prediction_2.00_sigma,trade_0.00_sigma,trade_0.25_sigma,trade_0.50_sigma,trade_1.00_sigma,trade_2.00_sigma
4141,-0.014223125277795345,-0.0021983543747252643,-0.011066786771329329,-0.009831282506659988,0,1,0,0,-0.0002981474972330034,-1.0,0.014223125277795345,0.13673000122587292,-1.3066588665005132,1,0.0,-0.0,0.2569523514976942,-0.8221511116578141,,0.0,-0.0,0.31583894827273434,-0.7580863296378342,,0.0,-0.0,0.907609609839904,0.132974955451709,,0.0,-0.0,1.4015587568722523,0.40614969457834593,,1,0,0,0,0
4142,0.013268921095008102,-0.0043434470603046504,-0.01893298633702012,-0.03298955864454545,0,0,1,0,-0.0033512450754642487,-1.0,-0.013268921095008102,0.13491574162828646,-1.3199277875955213,0,-1.0,-0.013268921095008102,0.2535428710204945,-0.8354200327528222,0.0,-1.0,-0.013268921095008102,0.3116481061893731,-0.7713552507328423,0.0,-1.0,-0.013268921095008102,0.8955666095418673,0.11970603435670091,0.0,0.0,0.0,1.4015587568722523,0.40614969457834593,,0,1,1,1,0
4143,-0.03928548725446557,-0.029335525067964885,-0.010212878838119277,-0.002318494965553808,0,0,0,1,0.00043342483695596457,1.0,-0.03928548725446557,0.12961551098012164,-1.3592132748499868,0,0.0,-0.0,0.2535428710204945,-0.8354200327528222,,0.0,-0.0,0.3116481061893731,-0.7713552507328423,,0.0,-0.0,0.8955666095418673,0.11970603435670091,,0.0,-0.0,1.4015587568722523,0.40614969457834593,,1,1,1,1,0
4144,0.035135313968106985,0.01895395036800629,-0.02867671691792295,-0.03406148330124159,0,0,0,0,-0.0011054244823753834,-1.0,-0.035135313968106985,0.12506142930669845,-1.3943485888180938,0,-1.0,-0.035135313968106985,0.24463456264281416,-0.8705553467209292,0.0,-1.0,-0.035135313968106985,0.30069825213084356,-0.8064905647009493,0.0,0.0,0.0,0.8955666095418673,0.11970603435670091,,0.0,0.0,1.4015587568722523,0.40614969457834593,,1,1,1,0,0
4145,-0.05593198670416766,-0.03515724878547677,0.012899220528385102,0.03519384107781143,1,0,0,0,0.000782811373937875,1.0,-0.05593198670416766,0.11806649510551198,-1.4502805755222614,0,1.0,-0.05593198670416766,0.23095166553769642,-0.9264873334250968,0.0,0.0,-0.0,0.30069825213084356,-0.8064905647009493,,0.0,-0.0,0.8955666095418673,0.11970603435670091,,0.0,-0.0,1.4015587568722523,0.40614969457834593,,1,1,1,0,0
4146,0.024307671474033343,0.042135948058831474,0.029079269953691256,0.02735723771580334,0,1,0,0,-0.00017338509496767074,-1.0,-0.024307671474033343,0.11519657353039663,-1.4745882469962948,0,0.0,0.0,0.23095166553769642,-0.9264873334250968,,0.0,0.0,0.30069825213084356,-0.8064905647009493,,0.0,0.0,0.8955666095418673,0.11970603435670091,,0.0,0.0,1.4015587568722523,0.40614969457834593,,1,1,0,0,0
4147,0.028424114225277686,-0.0010807374443739803,0.012507444907683185,-0.004459669079627693,0,0,1,0,-0.001809102250263095,-1.0,-0.028424114225277686,0.11192221296600803,-1.5030123612215724,0,-1.0,-0.028424114225277686,0.2243870690159348,-0.9549114476503745,0.0,-1.0,-0.028424114225277686,0.2921511706649351,-0.834914678926227,0.0,-1.0,-0.028424114225277686,0.8701109219359046,0.09128192013142322,0.0,0.0,0.0,1.4015587568722523,0.40614969457834593,,0,1,1,1,0
4148,-0.004435017354415871,-0.01100999172659578,-0.03032679738562094,-0.021229630591443227,0,0,0,1,0.002290974836796522,1.0,-0.004435017354415871,0.11142583600915916,-1.5074473785759883,0,1.0,-0.004435017354415871,0.2233919084707426,-0.9593464650047904,0.0,1.0,-0.004435017354415871,0.2908554751529232,-0.8393496962806428,0.0,1.0,-0.004435017354415871,0.8662519648968521,0.08684690277700735,0.0,0.0,-0.0,1.4015587568722523,0.40614969457834593,,1,1,1,1,0
4149,-0.034476079798566706,0.023294723294723374,0.0022917228363441566,0.052533828601751154,0,0,0,0,-0.002850523218512535,-1.0,0.034476079798566706,0.11526736202303292,-1.4729712987774217,1,-1.0,0.034476079798566706,0.23109358573353403,-0.9248703852062237,1.0,-1.0,0.034476079798566706,0.3008830317241454,-0.8048736164820761,1.0,-1.0,0.034476079798566706,0.896116936764301,0.12132298257557406,1.0,0.0,-0.0,1.4015587568722523,0.40614969457834593,,1,1,1,1,0
4150,0.06452691407556,0.016350144635894903,0.05662407531943492,0.001071338542979694,1,0,0,0,-0.00031463635968975723,-1.0,-0.06452691407556,0.10782951485805621,-1.5374982128529817,0,0.0,0.0,0.23109358573353403,-0.9248703852062237,,0.0,0.0,0.3008830317241454,-0.8048736164820761,,0.0,0.0,0.896116936764301,0.12132298257557406,,0.0,0.0,1.4015587568722523,0.40614969457834593,,0,1,1,1,0
4151,-0.008731155778894495,-0.013921544363321492,-0.023039714867617134,-0.029335851432168658,0,1,0,0,0.004126806743443012,1.0,-0.008731155778894495,0.1068880385662679,-1.5462293686318762,0,1.0,-0.008731155778894495,0.22907587163699122,-0.9336015409851182,0.0,1.0,-0.008731155778894495,0.29825597510293583,-0.8136047722609706,0.0,1.0,-0.008731155778894495,0.8882928001933061,0.11259182679667956,0.0,1.0,-0.008731155778894495,1.389321529032727,0.39741853879945144,0.0,1,1,1,1,1
