,1,2,3,4,5,6,prediction,signal_0.00_sigma,trade_result_0.00_sigma,equity_curve_0.00_sigma,noncomp_curve_0.00_sigma,correct_prediction_0.00_sigma,signal_0.25_sigma,trade_result_0.25_sigma,equity_curve_0.25_sigma,noncomp_curve_0.25_sigma,correct_prediction_0.25_sigma,signal_0.50_sigma,trade_result_0.50_sigma,equity_curve_0.50_sigma,noncomp_curve_0.50_sigma,correct_prediction_0.50_sigma,signal_1.00_sigma,trade_result_1.00_sigma,equity_curve_1.00_sigma,noncomp_curve_1.00_sigma,correct_prediction_1.00_sigma,signal_2.00_sigma,trade_result_2.00_sigma,equity_curve_2.00_sigma,noncomp_curve_2.00_sigma,correct_prediction_2.00_sigma,trade_0.00_sigma,trade_0.25_sigma,trade_0.50_sigma,trade_1.00_sigma,trade_2.00_sigma
4829,0.004711316397228549,0.004704580047045992,0.004718072066237866,0.0009446569282520745,99501.0,4,0.0004893693258054554,1.0,0.004711316397228549,4.018357211370024,1.4375892219325526,1,1.0,0.004711316397228549,4.634556500370789,1.5741708518676563,1.0,1.0,0.004711316397228549,4.337910076031504,1.5021531743312353,1.0,0.0,0.0,2.9384871069733745,1.1000158930060517,,0.0,0.0,1.288972782532478,0.257819324396216,,1,1,1,0,0
4830,-0.0028043398308201795,-0.002800348895928062,-0.002808342157359256,-0.006790507101259058,103074.0,0,0.0005835635238327086,1.0,-0.0028043398308201795,4.007088372187715,1.4347848821017324,0,1.0,-0.0028043398308201795,4.621559628978613,1.571366512036836,0.0,1.0,-0.0028043398308201795,4.325745102022772,1.4993488345004151,0.0,0.0,-0.0,2.9384871069733745,1.1000158930060517,,0.0,-0.0,1.288972782532478,0.257819324396216,,0,0,0,0,0
4831,-0.010787884376008305,-0.01077248872111225,-0.010803324099723066,-0.0043802725502920525,99760.0,1,-0.00024089028011076152,-1.0,0.010787884376008305,4.050316378231323,1.4455727664777407,1,-1.0,0.010787884376008305,4.671416479892862,1.5821543964128444,1.0,0.0,-0.0,4.325745102022772,1.4993488345004151,,0.0,-0.0,2.9384871069733745,1.1000158930060517,,0.0,-0.0,1.288972782532478,0.257819324396216,,1,1,1,0,0
4832,0.002097217691196196,0.0020941921072226144,0.0021002520302437766,0.005842780325426622,93208.0,2,0.00022559061471838504,1.0,0.002097217691196196,4.058810773394692,1.4476699841689369,1,1.0,0.002097217691196196,4.681213457177439,1.5842516141040406,1.0,0.0,0.0,4.325745102022772,1.4993488345004151,,0.0,0.0,2.9384871069733745,1.1000158930060517,,0.0,0.0,1.288972782532478,0.257819324396216,,1,1,0,0,0
4833,0.009580504139149904,0.00956671155900235,0.009594336546970395,0.0019208516547095655,100947.0,3,0.00020038381626363844,1.0,0.009580504139149904,4.097696226809226,1.4572504883080868,1,1.0,0.009580504139149904,4.726061842080171,1.5938321182431905,1.0,0.0,0.0,4.325745102022772,1.4993488345004151,,0.0,0.0,2.9384871069733745,1.1000158930060517,,0.0,0.0,1.288972782532478,0.257819324396216,,0,0,0,0,0
4834,-0.00566611387506899,-0.0056580339482037445,-0.005674216911934149,-0.005866999283948737,122798.0,4,-0.00013146836136002094,-1.0,0.00566611387506899,4.120914240255767,1.4629166021831557,1,0.0,-0.0,4.726061842080171,1.5938321182431905,,0.0,-0.0,4.325745102022772,1.4993488345004151,,0.0,-0.0,2.9384871069733745,1.1000158930060517,,0.0,-0.0,1.288972782532478,0.257819324396216,,1,1,0,0,0
4835,-0.006069029418577787,-0.0060603256846780695,-0.006077758188735349,-0.0012546759915427197,94120.0,0,0.00023388696718029678,1.0,-0.006069029418577787,4.0959042905002185,1.4568475727645778,0,1.0,-0.006069029418577787,4.6973792337265685,1.5877630888246128,0.0,0.0,-0.0,4.325745102022772,1.4993488345004151,,0.0,-0.0,2.9384871069733745,1.1000158930060517,,0.0,-0.0,1.288972782532478,0.257819324396216,,1,1,0,0,0
4836,0.003589074298498973,0.003583895741214871,0.003594267842972343,0.0039548679772014594,94990.0,1,0.001401612302288413,1.0,0.003589074298498973,4.110604795318364,1.4604366470630767,1,1.0,0.003589074298498973,4.714238476804639,1.5913521631231118,1.0,1.0,0.003589074298498973,4.3412705225903,1.502937908798914,1.0,1.0,0.003589074298498973,2.9490335555254834,1.1036049673045507,1.0,0.0,0.0,1.288972782532478,0.257819324396216,,0,0,1,1,0
4837,0.004319353490316313,0.004313143493182459,0.0043255813953488875,0.0037075657513614413,91805.0,2,-0.0007458744803443551,-1.0,-0.004319353490316313,4.092849640148395,1.4561172935727604,0,-1.0,-0.004319353490316313,4.69387601438567,1.5870328096327955,0.0,-1.0,-0.004319353490316313,4.322519040606142,1.4986185553085978,0.0,-1.0,-0.004319353490316313,2.9362956371443647,1.0992856138142344,0.0,0.0,0.0,1.288972782532478,0.257819324396216,,1,1,1,1,0
4838,0.003098409174990824,0.003093973678134354,0.0031028574074931647,-0.0001846935241832659,92159.0,3,0.00015521401655860245,1.0,0.003098409174990824,4.105530963025289,1.4592157027477513,1,0.0,0.0,4.69387601438567,1.5870328096327955,,0.0,0.0,4.322519040606142,1.4986185553085978,,0.0,0.0,2.9362956371443647,1.0992856138142344,,0.0,0.0,1.288972782532478,0.257819324396216,,1,1,1,1,0
4839,-0.003457655248720548,-0.0034527207439463137,-0.003462603878116255,-0.002909460364375227,115212.0,4,-7.905251550255343e-05,-1.0,0.003457655248720548,4.119726473708378,1.4626733579964717,1,0.0,-0.0,4.69387601438567,1.5870328096327955,,0.0,-0.0,4.322519040606142,1.4986185553085978,,0.0,-0.0,2.9362956371443647,1.0992856138142344,,0.0,-0.0,1.288972782532478,0.257819324396216,,1,0,0,0,0
4840,-0.002359363434493056,-0.0023559846630016867,-0.002362751911049399,-0.004701141705842793,103307.0,0,-0.00020818358461838216,-1.0,0.002359363434493056,4.129446405710558,1.4650327214309646,1,-1.0,0.002359363434493056,4.704950573820055,1.5893921730672886,1.0,0.0,-0.0,4.322519040606142,1.4986185553085978,,0.0,-0.0,2.9362956371443647,1.0992856138142344,,0.0,-0.0,1.288972782532478,0.257819324396216,,0,1,0,0,0
